County ID,County,Year,Completions
"05000US01003","Baldwin County, AL",2015,8
"05000US01003","Baldwin County, AL",2016,3
"05000US01003","Baldwin County, AL",2017,1
"05000US01003","Baldwin County, AL",2018,2
"05000US01003","Baldwin County, AL",2021,1
"05000US01047","Dallas County, AL",2015,0
"05000US01047","Dallas County, AL",2016,2
"05000US01047","Dallas County, AL",2017,4
"05000US01083","Limestone County, AL",2020,13
"05000US01083","Limestone County, AL",2021,5
"05000US01083","Limestone County, AL",2022,12
"05000US01083","Limestone County, AL",2023,6
"05000US01117","Shelby County, AL",2014,2
"05000US01117","Shelby County, AL",2015,1
"05000US01117","Shelby County, AL",2016,3
"05000US01117","Shelby County, AL",2017,1
"05000US04005","Coconino County, AZ",2013,2
"05000US04005","Coconino County, AZ",2014,8
"05000US04005","Coconino County, AZ",2015,7
"05000US04005","Coconino County, AZ",2016,9
"05000US04005","Coconino County, AZ",2017,6
"05000US04005","Coconino County, AZ",2018,6
"05000US04005","Coconino County, AZ",2019,4
"05000US04005","Coconino County, AZ",2020,1
"05000US04005","Coconino County, AZ",2021,1
"05000US04005","Coconino County, AZ",2022,3
"05000US04005","Coconino County, AZ",2023,1
"05000US04013","Maricopa County, AZ",2012,77
"05000US04013","Maricopa County, AZ",2013,98
"05000US04013","Maricopa County, AZ",2014,5675
"05000US04013","Maricopa County, AZ",2015,4216
"05000US04013","Maricopa County, AZ",2016,3103
"05000US04013","Maricopa County, AZ",2017,2542
"05000US04013","Maricopa County, AZ",2018,2074
"05000US04013","Maricopa County, AZ",2019,1141
"05000US04013","Maricopa County, AZ",2020,707
"05000US04013","Maricopa County, AZ",2021,469
"05000US04013","Maricopa County, AZ",2022,310
"05000US04013","Maricopa County, AZ",2023,262
"05000US04015","Mohave County, AZ",2012,26
"05000US04015","Mohave County, AZ",2013,23
"05000US04015","Mohave County, AZ",2014,0
"05000US04015","Mohave County, AZ",2015,0
"05000US04015","Mohave County, AZ",2016,0
"05000US04015","Mohave County, AZ",2017,1
"05000US04015","Mohave County, AZ",2018,0
"05000US04015","Mohave County, AZ",2019,0
"05000US04015","Mohave County, AZ",2020,0
"05000US04015","Mohave County, AZ",2021,0
"05000US04015","Mohave County, AZ",2022,0
"05000US04015","Mohave County, AZ",2023,0
"05000US05119","Pulaski County, AR",2014,46
"05000US05119","Pulaski County, AR",2015,31
"05000US05119","Pulaski County, AR",2016,19
"05000US05119","Pulaski County, AR",2017,8
"05000US05145","White County, AR",2014,1
"05000US05145","White County, AR",2015,1
"05000US05145","White County, AR",2016,0
"05000US05145","White County, AR",2017,0
"05000US05145","White County, AR",2018,1
"05000US05145","White County, AR",2019,0
"05000US05145","White County, AR",2020,1
"05000US05145","White County, AR",2021,0
"05000US05145","White County, AR",2022,0
"05000US05145","White County, AR",2023,1
"05000US06001","Alameda County, CA",2020,18
"05000US06001","Alameda County, CA",2021,13
"05000US06001","Alameda County, CA",2022,8
"05000US06001","Alameda County, CA",2023,9
"05000US06025","Imperial County, CA",2020,136
"05000US06025","Imperial County, CA",2021,143
"05000US06025","Imperial County, CA",2022,161
"05000US06025","Imperial County, CA",2023,153
"05000US06037","Los Angeles County, CA",2012,21
"05000US06037","Los Angeles County, CA",2013,22
"05000US06037","Los Angeles County, CA",2014,22
"05000US06037","Los Angeles County, CA",2015,26
"05000US06037","Los Angeles County, CA",2016,33
"05000US06037","Los Angeles County, CA",2017,46
"05000US06037","Los Angeles County, CA",2018,40
"05000US06037","Los Angeles County, CA",2019,54
"05000US06037","Los Angeles County, CA",2020,45
"05000US06037","Los Angeles County, CA",2021,47
"05000US06037","Los Angeles County, CA",2022,53
"05000US06037","Los Angeles County, CA",2023,37
"05000US06047","Merced County, CA",2012,4
"05000US06047","Merced County, CA",2013,0
"05000US06047","Merced County, CA",2014,0
"05000US06047","Merced County, CA",2015,5
"05000US06047","Merced County, CA",2016,1
"05000US06047","Merced County, CA",2017,0
"05000US06047","Merced County, CA",2018,1
"05000US06047","Merced County, CA",2019,0
"05000US06047","Merced County, CA",2020,0
"05000US06047","Merced County, CA",2021,0
"05000US06047","Merced County, CA",2022,0
"05000US06047","Merced County, CA",2023,0
"05000US06059","Orange County, CA",2012,14
"05000US06059","Orange County, CA",2013,21
"05000US06059","Orange County, CA",2014,18
"05000US06059","Orange County, CA",2015,13
"05000US06059","Orange County, CA",2016,21
"05000US06059","Orange County, CA",2017,17
"05000US06059","Orange County, CA",2018,16
"05000US06059","Orange County, CA",2019,33
"05000US06059","Orange County, CA",2020,16
"05000US06059","Orange County, CA",2021,23
"05000US06059","Orange County, CA",2022,18
"05000US06059","Orange County, CA",2023,20
"05000US06065","Riverside County, CA",2012,14
"05000US06065","Riverside County, CA",2013,15
"05000US06065","Riverside County, CA",2014,15
"05000US06065","Riverside County, CA",2015,18
"05000US06065","Riverside County, CA",2016,11
"05000US06065","Riverside County, CA",2017,14
"05000US06065","Riverside County, CA",2018,22
"05000US06065","Riverside County, CA",2019,25
"05000US06065","Riverside County, CA",2020,10
"05000US06065","Riverside County, CA",2021,18
"05000US06065","Riverside County, CA",2022,23
"05000US06065","Riverside County, CA",2023,7
"05000US06067","Sacramento County, CA",2020,24
"05000US06067","Sacramento County, CA",2021,24
"05000US06067","Sacramento County, CA",2022,21
"05000US06067","Sacramento County, CA",2023,18
"05000US06071","San Bernardino County, CA",2014,544
"05000US06071","San Bernardino County, CA",2015,442
"05000US06071","San Bernardino County, CA",2016,323
"05000US06071","San Bernardino County, CA",2017,255
"05000US06071","San Bernardino County, CA",2018,200
"05000US06071","San Bernardino County, CA",2019,112
"05000US06071","San Bernardino County, CA",2020,25
"05000US06071","San Bernardino County, CA",2021,14
"05000US06071","San Bernardino County, CA",2022,7
"05000US06071","San Bernardino County, CA",2023,3
"05000US06073","San Diego County, CA",2012,82
"05000US06073","San Diego County, CA",2013,315
"05000US06073","San Diego County, CA",2014,337
"05000US06073","San Diego County, CA",2015,529
"05000US06073","San Diego County, CA",2016,567
"05000US06073","San Diego County, CA",2017,493
"05000US06073","San Diego County, CA",2018,376
"05000US06073","San Diego County, CA",2019,297
"05000US06073","San Diego County, CA",2020,245
"05000US06073","San Diego County, CA",2021,208
"05000US06073","San Diego County, CA",2022,188
"05000US06073","San Diego County, CA",2023,160
"05000US06075","San Francisco County, CA",2012,13
"05000US06075","San Francisco County, CA",2013,10
"05000US06075","San Francisco County, CA",2014,11
"05000US06075","San Francisco County, CA",2015,10
"05000US06075","San Francisco County, CA",2016,10
"05000US06075","San Francisco County, CA",2017,15
"05000US06075","San Francisco County, CA",2018,9
"05000US06075","San Francisco County, CA",2019,6
"05000US06075","San Francisco County, CA",2020,6
"05000US06075","San Francisco County, CA",2021,21
"05000US06075","San Francisco County, CA",2022,8
"05000US06075","San Francisco County, CA",2023,11
"05000US06085","Santa Clara County, CA",2012,60
"05000US06085","Santa Clara County, CA",2013,91
"05000US06085","Santa Clara County, CA",2014,91
"05000US06085","Santa Clara County, CA",2015,69
"05000US06085","Santa Clara County, CA",2016,81
"05000US06085","Santa Clara County, CA",2017,64
"05000US06085","Santa Clara County, CA",2018,61
"05000US06085","Santa Clara County, CA",2019,49
"05000US06085","Santa Clara County, CA",2020,53
"05000US06085","Santa Clara County, CA",2021,52
"05000US06085","Santa Clara County, CA",2022,65
"05000US06085","Santa Clara County, CA",2023,42
"05000US06089","Shasta County, CA",2020,12
"05000US06089","Shasta County, CA",2021,6
"05000US06089","Shasta County, CA",2022,6
"05000US06089","Shasta County, CA",2023,9
"05000US06093","Siskiyou County, CA",2023,2
"05000US06111","Ventura County, CA",2021,1
"05000US06111","Ventura County, CA",2022,0
"05000US06111","Ventura County, CA",2023,0
"05000US08001","Adams County, CO",2012,5
"05000US08001","Adams County, CO",2013,8
"05000US08001","Adams County, CO",2014,4
"05000US08001","Adams County, CO",2015,4
"05000US08001","Adams County, CO",2016,5
"05000US08001","Adams County, CO",2017,0
"05000US08001","Adams County, CO",2018,1
"05000US08001","Adams County, CO",2019,5
"05000US08001","Adams County, CO",2020,6
"05000US08001","Adams County, CO",2021,3
"05000US08001","Adams County, CO",2022,2
"05000US08001","Adams County, CO",2023,4
"05000US08031","Denver County, CO",2012,150
"05000US08031","Denver County, CO",2013,126
"05000US08031","Denver County, CO",2014,139
"05000US08031","Denver County, CO",2015,86
"05000US08031","Denver County, CO",2016,41
"05000US08031","Denver County, CO",2017,13
"05000US08031","Denver County, CO",2018,13
"05000US08031","Denver County, CO",2019,5
"05000US08031","Denver County, CO",2020,5
"05000US08031","Denver County, CO",2021,2
"05000US08031","Denver County, CO",2023,1
"05000US08035","Douglas County, CO",2014,25
"05000US08035","Douglas County, CO",2015,39
"05000US08035","Douglas County, CO",2016,26
"05000US08035","Douglas County, CO",2017,22
"05000US08035","Douglas County, CO",2018,10
"05000US08035","Douglas County, CO",2019,5
"05000US08041","El Paso County, CO",2012,75
"05000US08041","El Paso County, CO",2013,48
"05000US08041","El Paso County, CO",2014,64
"05000US08041","El Paso County, CO",2015,62
"05000US08041","El Paso County, CO",2016,39
"05000US08041","El Paso County, CO",2017,61
"05000US08041","El Paso County, CO",2018,43
"05000US08041","El Paso County, CO",2019,82
"05000US08041","El Paso County, CO",2020,80
"05000US08041","El Paso County, CO",2021,68
"05000US08041","El Paso County, CO",2022,57
"05000US08041","El Paso County, CO",2023,42
"05000US08059","Jefferson County, CO",2012,13
"05000US08059","Jefferson County, CO",2013,10
"05000US08059","Jefferson County, CO",2014,7
"05000US08059","Jefferson County, CO",2015,8
"05000US08059","Jefferson County, CO",2016,5
"05000US08059","Jefferson County, CO",2017,2
"05000US08059","Jefferson County, CO",2018,1
"05000US08059","Jefferson County, CO",2019,1
"05000US08059","Jefferson County, CO",2020,2
"05000US08059","Jefferson County, CO",2021,6
"05000US08059","Jefferson County, CO",2022,14
"05000US08059","Jefferson County, CO",2023,8
"05000US09110","None",2023,0
"05000US09140","None",2012,19
"05000US09140","None",2013,21
"05000US09140","None",2014,25
"05000US09140","None",2015,19
"05000US09140","None",2016,18
"05000US09140","None",2017,20
"05000US09140","None",2018,7
"05000US09140","None",2019,6
"05000US09140","None",2020,4
"05000US09140","None",2021,0
"05000US09140","None",2022,1
"05000US09170","None",2021,29
"05000US09170","None",2022,31
"05000US09170","None",2023,91
"05000US10003","New Castle County, DE",2012,180
"05000US10003","New Castle County, DE",2013,218
"05000US10003","New Castle County, DE",2014,203
"05000US10003","New Castle County, DE",2015,248
"05000US10003","New Castle County, DE",2016,205
"05000US10003","New Castle County, DE",2017,205
"05000US10003","New Castle County, DE",2018,219
"05000US10003","New Castle County, DE",2019,198
"05000US10003","New Castle County, DE",2021,0
"05000US10003","New Castle County, DE",2022,0
"05000US10003","New Castle County, DE",2023,1
"05000US12011","Broward County, FL",2014,83
"05000US12011","Broward County, FL",2015,82
"05000US12011","Broward County, FL",2016,58
"05000US12011","Broward County, FL",2017,24
"05000US12011","Broward County, FL",2018,11
"05000US12011","Broward County, FL",2019,3
"05000US12086","Miami-Dade County, FL",2023,2
"05000US12099","Palm Beach County, FL",2020,1
"05000US12099","Palm Beach County, FL",2021,0
"05000US12099","Palm Beach County, FL",2022,0
"05000US12099","Palm Beach County, FL",2023,2
"05000US13045","Carroll County, GA",2019,1
"05000US13045","Carroll County, GA",2020,12
"05000US13045","Carroll County, GA",2021,27
"05000US13045","Carroll County, GA",2022,26
"05000US13045","Carroll County, GA",2023,25
"05000US13051","Chatham County, GA",2019,1
"05000US13089","DeKalb County, GA",2018,4
"05000US13089","DeKalb County, GA",2019,5
"05000US13089","DeKalb County, GA",2020,1
"05000US13089","DeKalb County, GA",2021,6
"05000US13089","DeKalb County, GA",2022,3
"05000US13089","DeKalb County, GA",2023,5
"05000US13121","Fulton County, GA",2014,72
"05000US13121","Fulton County, GA",2015,48
"05000US13121","Fulton County, GA",2016,47
"05000US13121","Fulton County, GA",2017,32
"05000US13121","Fulton County, GA",2018,11
"05000US13121","Fulton County, GA",2019,4
"05000US13121","Fulton County, GA",2020,2
"05000US13209","Montgomery County, GA",2015,9
"05000US13209","Montgomery County, GA",2016,8
"05000US13209","Montgomery County, GA",2017,0
"05000US15003","Honolulu County, HI",2012,2
"05000US15003","Honolulu County, HI",2013,6
"05000US15003","Honolulu County, HI",2014,4
"05000US15003","Honolulu County, HI",2015,7
"05000US15003","Honolulu County, HI",2016,8
"05000US15003","Honolulu County, HI",2017,5
"05000US15003","Honolulu County, HI",2018,2
"05000US15003","Honolulu County, HI",2019,1
"05000US15003","Honolulu County, HI",2020,3
"05000US15003","Honolulu County, HI",2021,2
"05000US15003","Honolulu County, HI",2022,1
"05000US15003","Honolulu County, HI",2023,0
"05000US16001","Ada County, ID",2012,6
"05000US16001","Ada County, ID",2013,5
"05000US16001","Ada County, ID",2014,12
"05000US16001","Ada County, ID",2015,13
"05000US16001","Ada County, ID",2016,6
"05000US16001","Ada County, ID",2017,8
"05000US16069","Nez Perce County, ID",2012,7
"05000US16069","Nez Perce County, ID",2013,4
"05000US16069","Nez Perce County, ID",2014,6
"05000US16069","Nez Perce County, ID",2015,3
"05000US16069","Nez Perce County, ID",2016,5
"05000US16069","Nez Perce County, ID",2017,5
"05000US16069","Nez Perce County, ID",2018,6
"05000US16069","Nez Perce County, ID",2019,8
"05000US16069","Nez Perce County, ID",2020,6
"05000US16069","Nez Perce County, ID",2021,3
"05000US16069","Nez Perce County, ID",2022,7
"05000US16069","Nez Perce County, ID",2023,14
"05000US17031","Cook County, IL",2012,36
"05000US17031","Cook County, IL",2013,18
"05000US17031","Cook County, IL",2014,32
"05000US17031","Cook County, IL",2015,23
"05000US17031","Cook County, IL",2016,24
"05000US17031","Cook County, IL",2017,16
"05000US17031","Cook County, IL",2018,64
"05000US17031","Cook County, IL",2019,63
"05000US17031","Cook County, IL",2020,55
"05000US17031","Cook County, IL",2021,74
"05000US17031","Cook County, IL",2022,74
"05000US17031","Cook County, IL",2023,57
"05000US17109","McDonough County, IL",2022,9
"05000US17109","McDonough County, IL",2023,18
"05000US18083","Knox County, IN",2012,3
"05000US18083","Knox County, IN",2013,3
"05000US18083","Knox County, IN",2014,6
"05000US18083","Knox County, IN",2015,4
"05000US18083","Knox County, IN",2016,39
"05000US18083","Knox County, IN",2017,35
"05000US18083","Knox County, IN",2018,28
"05000US18083","Knox County, IN",2019,22
"05000US18083","Knox County, IN",2020,28
"05000US18083","Knox County, IN",2021,32
"05000US18083","Knox County, IN",2022,24
"05000US18083","Knox County, IN",2023,28
"05000US18089","Lake County, IN",2017,31
"05000US18089","Lake County, IN",2018,32
"05000US18089","Lake County, IN",2019,16
"05000US18089","Lake County, IN",2020,16
"05000US18089","Lake County, IN",2021,12
"05000US18089","Lake County, IN",2022,8
"05000US18089","Lake County, IN",2023,10
"05000US18091","LaPorte County, IN",2012,26
"05000US18091","LaPorte County, IN",2013,27
"05000US18091","LaPorte County, IN",2014,24
"05000US18091","LaPorte County, IN",2015,13
"05000US18091","LaPorte County, IN",2016,19
"05000US18097","Marion County, IN",2012,1
"05000US18097","Marion County, IN",2014,5
"05000US18097","Marion County, IN",2015,3
"05000US18097","Marion County, IN",2016,5
"05000US18097","Marion County, IN",2017,3
"05000US18099","Marshall County, IN",2012,5
"05000US18099","Marshall County, IN",2013,2
"05000US18099","Marshall County, IN",2014,5
"05000US18099","Marshall County, IN",2015,5
"05000US18099","Marshall County, IN",2016,6
"05000US18099","Marshall County, IN",2017,7
"05000US18099","Marshall County, IN",2018,7
"05000US18099","Marshall County, IN",2019,4
"05000US18099","Marshall County, IN",2020,4
"05000US18157","Tippecanoe County, IN",2016,0
"05000US18157","Tippecanoe County, IN",2017,2
"05000US18157","Tippecanoe County, IN",2018,2
"05000US18157","Tippecanoe County, IN",2019,295
"05000US18157","Tippecanoe County, IN",2020,362
"05000US18157","Tippecanoe County, IN",2021,660
"05000US18157","Tippecanoe County, IN",2022,740
"05000US18157","Tippecanoe County, IN",2023,884
"05000US19013","Black Hawk County, IA",2016,0
"05000US19013","Black Hawk County, IA",2017,1
"05000US19013","Black Hawk County, IA",2018,0
"05000US19033","Cerro Gordo County, IA",2016,0
"05000US19033","Cerro Gordo County, IA",2017,0
"05000US19033","Cerro Gordo County, IA",2018,0
"05000US19103","Johnson County, IA",2021,16
"05000US19103","Johnson County, IA",2022,332
"05000US19103","Johnson County, IA",2023,358
"05000US19113","Linn County, IA",2016,0
"05000US19113","Linn County, IA",2017,2
"05000US19113","Linn County, IA",2018,1
"05000US19153","Polk County, IA",2016,0
"05000US19153","Polk County, IA",2017,1
"05000US19153","Polk County, IA",2018,0
"05000US19163","Scott County, IA",2016,8
"05000US19163","Scott County, IA",2017,161
"05000US19163","Scott County, IA",2018,200
"05000US20045","Douglas County, KS",2012,118
"05000US20045","Douglas County, KS",2013,96
"05000US20045","Douglas County, KS",2014,91
"05000US20045","Douglas County, KS",2015,89
"05000US20045","Douglas County, KS",2016,86
"05000US20045","Douglas County, KS",2017,100
"05000US20045","Douglas County, KS",2018,91
"05000US20045","Douglas County, KS",2019,101
"05000US20045","Douglas County, KS",2020,111
"05000US20045","Douglas County, KS",2021,113
"05000US20045","Douglas County, KS",2022,88
"05000US20045","Douglas County, KS",2023,88
"05000US20115","Marion County, KS",2014,1
"05000US20115","Marion County, KS",2015,2
"05000US20115","Marion County, KS",2016,2
"05000US20115","Marion County, KS",2017,1
"05000US20115","Marion County, KS",2018,1
"05000US20115","Marion County, KS",2019,3
"05000US20115","Marion County, KS",2020,2
"05000US20115","Marion County, KS",2021,0
"05000US20115","Marion County, KS",2022,0
"05000US20115","Marion County, KS",2023,0
"05000US21067","Fayette County, KY",2012,0
"05000US21067","Fayette County, KY",2013,0
"05000US21067","Fayette County, KY",2014,0
"05000US21067","Fayette County, KY",2015,0
"05000US21067","Fayette County, KY",2016,0
"05000US21067","Fayette County, KY",2017,0
"05000US21067","Fayette County, KY",2018,0
"05000US21067","Fayette County, KY",2019,0
"05000US21067","Fayette County, KY",2020,0
"05000US21067","Fayette County, KY",2021,0
"05000US21067","Fayette County, KY",2022,0
"05000US21067","Fayette County, KY",2023,0
"05000US21111","Jefferson County, KY",2014,1
"05000US21111","Jefferson County, KY",2016,4
"05000US21111","Jefferson County, KY",2017,4
"05000US21111","Jefferson County, KY",2018,4
"05000US22033","East Baton Rouge Parish, LA",2012,1
"05000US22033","East Baton Rouge Parish, LA",2013,1
"05000US22033","East Baton Rouge Parish, LA",2014,8
"05000US22033","East Baton Rouge Parish, LA",2015,8
"05000US22033","East Baton Rouge Parish, LA",2016,6
"05000US22033","East Baton Rouge Parish, LA",2017,4
"05000US22033","East Baton Rouge Parish, LA",2018,0
"05000US22071","Orleans Parish, LA",2012,2
"05000US22071","Orleans Parish, LA",2013,1
"05000US22071","Orleans Parish, LA",2014,2
"05000US22071","Orleans Parish, LA",2015,1
"05000US22071","Orleans Parish, LA",2016,3
"05000US22071","Orleans Parish, LA",2017,0
"05000US22071","Orleans Parish, LA",2018,1
"05000US22071","Orleans Parish, LA",2019,0
"05000US22071","Orleans Parish, LA",2020,1
"05000US22071","Orleans Parish, LA",2021,0
"05000US22071","Orleans Parish, LA",2022,0
"05000US22071","Orleans Parish, LA",2023,0
"05000US23001","Androscoggin County, ME",2016,0
"05000US23001","Androscoggin County, ME",2017,0
"05000US23001","Androscoggin County, ME",2018,1
"05000US23003","Aroostook County, ME",2020,13
"05000US23003","Aroostook County, ME",2021,11
"05000US23003","Aroostook County, ME",2022,7
"05000US23003","Aroostook County, ME",2023,14
"05000US23011","Kennebec County, ME",2016,0
"05000US23011","Kennebec County, ME",2017,2
"05000US23011","Kennebec County, ME",2018,0
"05000US23019","Penobscot County, ME",2021,2
"05000US23029","Washington County, ME",2012,11
"05000US23029","Washington County, ME",2020,2
"05000US24005","Baltimore County, MD",2023,13
"05000US24027","Howard County, MD",2012,36
"05000US24027","Howard County, MD",2013,24
"05000US24027","Howard County, MD",2014,26
"05000US24027","Howard County, MD",2015,74
"05000US24027","Howard County, MD",2016,6
"05000US24027","Howard County, MD",2017,4
"05000US24027","Howard County, MD",2018,0
"05000US24027","Howard County, MD",2019,0
"05000US24027","Howard County, MD",2020,0
"05000US24027","Howard County, MD",2021,0
"05000US24027","Howard County, MD",2022,0
"05000US24043","Washington County, MD",2016,1
"05000US24043","Washington County, MD",2017,3
"05000US24043","Washington County, MD",2018,4
"05000US24510","Baltimore city, MD",2012,17
"05000US24510","Baltimore city, MD",2013,37
"05000US24510","Baltimore city, MD",2014,23
"05000US24510","Baltimore city, MD",2015,19
"05000US24510","Baltimore city, MD",2016,32
"05000US24510","Baltimore city, MD",2017,18
"05000US24510","Baltimore city, MD",2018,37
"05000US24510","Baltimore city, MD",2019,64
"05000US24510","Baltimore city, MD",2020,59
"05000US24510","Baltimore city, MD",2021,54
"05000US24510","Baltimore city, MD",2022,54
"05000US24510","Baltimore city, MD",2023,56
"05000US25017","Middlesex County, MA",2017,12
"05000US25017","Middlesex County, MA",2018,37
"05000US25017","Middlesex County, MA",2019,22
"05000US25017","Middlesex County, MA",2020,3
"05000US25017","Middlesex County, MA",2021,30
"05000US25017","Middlesex County, MA",2022,71
"05000US25017","Middlesex County, MA",2023,64
"05000US25027","Worcester County, MA",2013,12
"05000US25027","Worcester County, MA",2014,4
"05000US25027","Worcester County, MA",2015,6
"05000US25027","Worcester County, MA",2016,13
"05000US25027","Worcester County, MA",2017,13
"05000US25027","Worcester County, MA",2018,6
"05000US25027","Worcester County, MA",2019,16
"05000US25027","Worcester County, MA",2020,15
"05000US25027","Worcester County, MA",2021,18
"05000US25027","Worcester County, MA",2022,8
"05000US25027","Worcester County, MA",2023,19
"05000US26021","Berrien County, MI",2012,7
"05000US26021","Berrien County, MI",2013,10
"05000US26021","Berrien County, MI",2014,8
"05000US26021","Berrien County, MI",2015,6
"05000US26021","Berrien County, MI",2016,5
"05000US26021","Berrien County, MI",2017,8
"05000US26021","Berrien County, MI",2018,2
"05000US26021","Berrien County, MI",2019,5
"05000US26021","Berrien County, MI",2020,2
"05000US26021","Berrien County, MI",2021,3
"05000US26021","Berrien County, MI",2022,2
"05000US26021","Berrien County, MI",2023,3
"05000US26103","Marquette County, MI",2012,13
"05000US26103","Marquette County, MI",2013,13
"05000US26103","Marquette County, MI",2014,11
"05000US26103","Marquette County, MI",2015,11
"05000US26103","Marquette County, MI",2016,11
"05000US26103","Marquette County, MI",2017,19
"05000US26103","Marquette County, MI",2018,9
"05000US26103","Marquette County, MI",2019,15
"05000US26103","Marquette County, MI",2020,16
"05000US26103","Marquette County, MI",2021,6
"05000US26103","Marquette County, MI",2022,3
"05000US26103","Marquette County, MI",2023,1
"05000US26121","Muskegon County, MI",2012,0
"05000US26121","Muskegon County, MI",2013,0
"05000US26121","Muskegon County, MI",2014,0
"05000US26121","Muskegon County, MI",2015,0
"05000US26121","Muskegon County, MI",2016,0
"05000US26125","Oakland County, MI",2012,5
"05000US26125","Oakland County, MI",2013,5
"05000US26125","Oakland County, MI",2014,19
"05000US26125","Oakland County, MI",2015,23
"05000US26125","Oakland County, MI",2016,8
"05000US26125","Oakland County, MI",2017,7
"05000US26125","Oakland County, MI",2018,8
"05000US26125","Oakland County, MI",2019,5
"05000US26125","Oakland County, MI",2020,7
"05000US26125","Oakland County, MI",2021,5
"05000US26125","Oakland County, MI",2022,2
"05000US26125","Oakland County, MI",2023,3
"05000US26163","Wayne County, MI",2012,0
"05000US26163","Wayne County, MI",2013,0
"05000US26163","Wayne County, MI",2014,0
"05000US26163","Wayne County, MI",2015,0
"05000US26163","Wayne County, MI",2016,0
"05000US26163","Wayne County, MI",2017,0
"05000US26163","Wayne County, MI",2018,0
"05000US26163","Wayne County, MI",2019,0
"05000US27007","Beltrami County, MN",2018,0
"05000US27007","Beltrami County, MN",2019,0
"05000US27007","Beltrami County, MN",2020,2
"05000US27007","Beltrami County, MN",2021,1
"05000US27007","Beltrami County, MN",2022,0
"05000US27007","Beltrami County, MN",2023,1
"05000US27053","Hennepin County, MN",2014,1
