University ID,University,Year,Out Of State Tuition,State Tuition,Total Graduates
484613,"University of Phoenix-Arizona",2014,10702,10702,5575
484631,"University of Phoenix-California",2014,11479,11479,544
154022,"Ashford University",2014,10080,10080,337
131113,"Wilmington University",2014,10140,10140,203
127565,"Metropolitan State University of Denver",2014,17791,4973,139
484613,"University of Phoenix-Arizona",2015,11003,11003,4132
154022,"Ashford University",2015,10320,10320,529
484631,"University of Phoenix-California",2015,11655,11655,442
193016,"Mercy University",2015,17466,17466,355
131113,"Wilmington University",2015,10380,10380,248
484613,"University of Phoenix-Arizona",2016,11219,11219,3046
154022,"Ashford University",2016,10632,10632,567
193016,"Mercy University",2016,17772,17772,366
484631,"University of Phoenix-California",2016,11814,11814,323
131113,"Wilmington University",2016,10620,10620,205
484613,"University of Phoenix-Arizona",2017,11330,11330,2460
154022,"Ashford University",2017,10848,10848,493
484631,"University of Phoenix-California",2017,11729,11729,255
131113,"Wilmington University",2017,10890,10890,205
227979,"San Jacinto Community College",2017,3840,2280,190
484613,"University of Phoenix-Arizona",2018,9552,9552,2002
154022,"Ashford University",2018,11400,11400,376
227979,"San Jacinto Community College",2018,3888,2328,265
131113,"Wilmington University",2018,11160,11160,219
260901,"Purdue University Global-Davenport",2018,13356,13356,200
484613,"University of Phoenix-Arizona",2019,9552,9552,1099
154022,"Ashford University",2019,11640,11640,297
489779,"Purdue University Global",2019,13356,7920,295
227979,"San Jacinto Community College",2019,5040,3240,269
131113,"Wilmington University",2019,11430,11430,198
489779,"Purdue University Global",2023,13356,10080,884
199120,"University of North Carolina at Chapel Hill",2023,37360,7019,546
153658,"University of Iowa",2023,30979,9016,358
227979,"San Jacinto Community College",2023,5352,3456,350
196468,"Teachers College at Columbia University",2023,,,329
489779,"Purdue University Global",2022,13356,10080,740
199120,"University of North Carolina at Chapel Hill",2022,35580,7019,538
227979,"San Jacinto Community College",2022,5040,3240,371
153658,"University of Iowa",2022,30674,8711,332
196468,"Teachers College at Columbia University",2022,,,305
489779,"Purdue University Global",2021,13356,10080,660
199120,"University of North Carolina at Chapel Hill",2021,34882,7019,551
484613,"University of Phoenix-Arizona",2021,9552,9552,372
227979,"San Jacinto Community College",2021,5040,3240,371
196468,"Teachers College at Columbia University",2021,,,262
484613,"University of Phoenix-Arizona",2020,9552,9552,638
489779,"Purdue University Global",2020,13356,10080,362
227979,"San Jacinto Community College",2020,5040,3240,312
196468,"Teachers College at Columbia University",2020,,,251
154022,"Ashford University",2020,13280,13280,245
154022,"Ashford University",2013,9912,9912,315
131113,"Wilmington University",2013,9900,9900,218
127565,"Metropolitan State University of Denver",2013,16784,4691,126
240277,"University of Wisconsin-Green Bay",2013,13871,6298,121
155317,"University of Kansas",2013,21875,8396,96