Detailed Occupation ID,Detailed Occupation,Year,Average Wage,Average Wage Appx MOE,Record Count,Total Population,Top Total Population,Total Population RCA,Total Population MOE Appx
"252020","Elementary & middle school teachers",2018,48393.897460362576,2779.756839393246,2536,49259,1,2.3271942372776806,5448.091802332766
"252020","Elementary & middle school teachers",2020,49957.8777056277,2950.9248687746035,2350,48972,1,2.3371725843676425,5432.220283386726
"252020","Elementary & middle school teachers",2021,52762.41613927334,3254.619118419547,2261,48193,1,2.305741168940896,5388.865331582645
"252020","Elementary & middle school teachers",2019,49693.22732976409,2974.108815296515,2480,47816,1,2.2866062809645515,5367.739125159802
"252020","Elementary & middle school teachers",2022,56133.48048130027,3464.6866002681704,2204,47621,1,2.332864971215315,5356.808501281647
"252020","Elementary & middle school teachers",2017,46629.377873928905,2588.424680432993,2444,47148,1,2.3107130143245005,5330.100617003923
"252020","Elementary & middle school teachers",2023,58177.67321856891,3692.005897540957,2168,47111,1,2.3560663977208485,5328.061481360379
"252020","Elementary & middle school teachers",2016,45012.71504934211,2532.46136604886,2373,46208,1,2.3287086820175222,5276.7018624126395
"252020","Elementary & middle school teachers",2015,44580.275796994,2631.4804382958328,2300,44511,1,2.293786338923239,5178.91943883299
"252020","Elementary & middle school teachers",2014,44987.02694326305,2674.405841696128,2268,44204,1,2.31772836846155,5161.0207309882735
"1191XX","Other managers",2023,120326.84619629105,12449.521534380663,1838,41683,2,1.4977460395358746,5011.817353014053
"291060","Physicians & surgeons",2015,201823.03337294754,18104.855659425953,2003,41231,2,8.73277008917632,4984.510550899942
"291060","Physicians & surgeons",2014,196846.54881488445,17763.647659913895,1996,40418,2,8.812360499023068,4935.125706088676
"291060","Physicians & surgeons",2017,222831.35191767543,19989.59212258471,1974,40231,2,8.125812313090915,4923.734196188761
"291060","Physicians & surgeons",2016,210668.00612530627,19122.783628317327,1983,39998,2,8.33632782586204,4909.447540852827
"291210","Physicians",2018,227430.86815246823,20868.079726874166,1861,38408,2,7.891915741612589,4810.924939547157
"1191XX","Other managers",2022,115639.9222380275,12665.968839817957,1708,37962,2,1.4456506017398765,4782.942728629384
"291210","Physicians",2019,235659.8070954048,22139.453747016003,1782,36277,2,7.161572384467641,4675.600015160738
"291210","Physicians",2021,248954.5538368046,23765.749397016018,1672,36202,2,6.44296252718747,4670.774533144533
"291210","Physicians",2020,238806.04859709746,22378.57158313706,1701,36175,2,6.800712068450682,4669.026703365662
"291210","Physicians",2023,270664.2250326598,26371.793285114076,1692,35977,3,6.029294430509263,4656.250137166014
"291210","Physicians",2022,261990.1582657639,25490.818142077536,1673,35889,3,6.227664869699277,4650.549514147621
"1191XX","Other managers",2021,109048.75160497962,12375.586716110163,1577,35826,3,1.440389221540163,4646.461296103562
"119XXX","Miscellaneous managers",2017,100481.14980447502,11626.24389811389,1541,34011,3,1.5455272186211053,4527.237233658116
"291141","Registered nurses",2023,84024.93854978673,6986.857039374886,1441,33995,4,1.4954999014102934,4526.204359327476
"291141","Registered nurses",2022,80824.75582986318,6780.119936568915,1424,33620,4,1.543066606520599,4501.172776969185
"291141","Registered nurses",2021,76614.2861859718,6667.781459552709,1408,33618,4,1.590631160165061,4501.033857913615
"1191XX","Other managers",2020,100765.12699597076,11005.641329627026,1468,33505,3,1.4606055385633703,4493.459037188104
"1191XX","Other managers",2019,102104.77333577847,12307.913401574539,1443,32718,3,1.5329614090922883,4440.381165985604
"119XXX","Miscellaneous managers",2016,97305.52652528143,11755.24908404029,1432,32158,3,1.5738629229683159,4402.202465127897
"291141","Registered nurses",2020,73217.74127906977,6633.39483131079,1347,31992,4,1.5894402805871324,4390.852765493053
"291141","Registered nurses",2019,71676.2899427637,6806.198765901478,1298,30575,4,1.6026289373685891,4292.5290919002155
"119XXX","Miscellaneous managers",2015,95796.51697541037,11985.706009812486,1359,30338,3,1.5896742414190743,4275.835759867639
"1191XX","Other managers",2018,102769.86282871358,13059.752544031882,1339,29547,3,1.4704542246886614,4219.758414303949
"291141","Registered nurses",2018,68419.1209398756,5957.4736894187245,1272,28940,4,1.579051956920055,4176.197763165631
"291141","Registered nurses",2017,65668.82106111091,6094.86432984044,1222,27311,4,1.5646081408684016,4056.9760284309905
"119XXX","Miscellaneous managers",2014,96960.68397932817,12067.75941078809,1243,27090,3,1.5403097300614461,4040.512006731448
"291031","Dietitians & nutritionists",2023,67442.0548068284,6652.496870427009,1348,26712,5,38.02795851626719,4012.269989701151
"291031","Dietitians & nutritionists",2022,65363.707613176506,6802.930822036267,1318,26441,5,38.65867596327147,3991.8664434728094
"291141","Registered nurses",2016,63087.44572922029,5826.182139303399,1165,25253,4,1.5034929942913609,3901.149242290846
"291031","Dietitians & nutritionists",2021,60894.79190154823,6476.951711345572,1247,25190,5,37.806287555575345,3896.301590921064
"291141","Registered nurses",2015,63214.10751506269,6052.816239174348,1134,24564,4,1.5093751240527917,3847.56595442664
"291141","Registered nurses",2014,64300.05889837465,5979.941118539377,1162,24364,4,1.5605936028061584,3831.86771471092
"291031","Dietitians & nutritionists",2020,58148.17152076783,6766.569255904907,1178,24172,5,38.13456648230106,3816.76884391608
"291031","Dietitians & nutritionists",2019,54934.212206332995,6018.237001317865,1191,23496,5,39.86780847039837,3763.027061528663
"291031","Dietitians & nutritionists",2018,53682.81679629546,5985.142953400382,1121,22243,5,39.331105305172564,3661.3261494155163
"291031","Dietitians & nutritionists",2017,53397.78533682456,6916.31851557035,1084,21005,5,38.86953045274681,3557.9879926488334
"291031","Dietitians & nutritionists",2016,50833.85070504434,6125.786865035871,1060,20637,5,40.1726885896419,3526.6830384962345
"291031","Dietitians & nutritionists",2015,52964.385947149945,7312.187732344562,1030,19754,5,41.17165852040304,3450.416643734219
"291031","Dietitians & nutritionists",2014,52962.52508413151,7362.027268517387,1013,19315,5,41.646794305694655,3411.862787939108